kicker_name,kick_distance,kicking_team,kick_off_yard_line,kicking_start,kick_name,return_distance
D.Bailey,69,DAL,35,-4.,D.Wilson,20
L.Tynes,67,NYG,35,-2.,F.Jones,22
D.Bailey,67,DAL,35,-2.,D.Wilson,32
D.Bailey,61,DAL,35,4.,A.Brown,7
L.Tynes,70,NYG,35,-5.,F.Jones,25
D.Bailey,69,DAL,35,-4.,A.Brown,22
D.Bailey,63,DAL,35,2.,D.Wilson,19
L.Tynes,53,NYG,35,12.,F.Jones,14
P.McAfee,67,IND,35,-2.,D.Hester,18
R.Gould,70,CHI,35,-5.,C.Vaughn,28
P.McAfee,68,IND,35,-3.,D.Hester,31
R.Gould,66,CHI,35,-1.,C.Vaughn,23
R.Gould,53,CHI,35,12.,M.Moore,7
P.Dawson,57,CLV,35,8.,S.Havili,18
P.Dawson,68,CLV,35,-3.,B.Boykin,29
A.Henery,70,PHI,35,-5.,J.Cribbs,39
A.Henery,40,PHI,35,25.,E.Stephens,7
A.Henery,71,PHI,35,-6.,J.Cribbs,19
P.Dawson,64,CLV,35,1.,B.Boykin,17
G.Zuerlein,70,SL,35,-5.,S.Logan,18
J.Hanson,70,DET,35,-5.,I.Pead,25
S.Graham,65,HST,35,0.,M.Thigpen,17
S.Graham,68,HST,35,-3.,M.Thigpen,32
S.Graham,65,HST,35,0.,M.Thigpen,30
S.Graham,44,HST,35,21.,J.Lane,18
D.Carpenter,67,MIA,35,-2.,T.Holliday,17
D.Carpenter,70,MIA,35,-5.,T.Holliday,19
S.Graham,66,HST,35,-1.,M.Thigpen,27
M.Bosher,60,ATL,35,5.,J.Arenas,18
M.Bosher,66,ATL,35,-1.,J.Arenas,25
R.Succop,65,KC,35,0.,Jz.,27
M.Bosher,52,ATL,35,13.,T.Copper,16
M.Bosher,66,ATL,35,-1.,J.Arenas,18
R.Succop,70,KC,35,-5.,H.Douglas,8
J.Scobee,59,JAX,35,6.,M.Asiata,18
J.Scobee,70,JAX,35,-5.,P.Harvin,28
B.Walsh,69,MIN,35,-4.,J.Parmele,20
B.Walsh,69,MIN,35,-4.,J.Parmele,22
J.Scobee,72,JAX,35,-7.,P.Harvin,30
J.Scobee,56,JAX,35,9.,M.Asiata,22
J.Scobee,70,JAX,35,-5.,P.Harvin,30
B.Walsh,63,MIN,35,2.,J.Parmele,21
B.Cundiff,73,WAS,35,-8.,D.Sproles,26
T.Morstead,64,NO,35,1.,B.Banks,22
J.Potter,70,BUF,35,-5.,J.McKnight,24
N.Folk,68,NYJ,35,-3.,L.McKelvin,23
N.Folk,64,NYJ,35,1.,L.McKelvin,22
N.Folk,73,NYJ,35,-8.,L.McKelvin,26
R.Bironas,67,TEN,35,-2.,D.McCourty,28
S.Gostkowski,69,NE,35,-4.,D.Reynaud,22
S.Gostkowski,73,NE,35,-8.,D.Reynaud,26
S.Gostkowski,64,NE,35,1.,D.Reynaud,20
R.Bironas,67,TEN,35,-2.,M.Slater,19
J.Feely,70,ARZ,35,-5.,L.Washington,28
